Datetime,Close,High,Low,Open,Volume
2025-03-07 00:00:00+00:00,85555.5703125,91160.8203125,84979.53125,89959.1640625,0
2025-03-07 01:00:00+00:00,88077.8828125,88763.1953125,85383.765625,85383.765625,3863216128
2025-03-07 02:00:00+00:00,87352.15625,88396.703125,87352.15625,88240.4375,229388288
2025-03-07 03:00:00+00:00,87044.4921875,87643.0625,86859.4296875,87335.3203125,1051316224
2025-03-07 04:00:00+00:00,87725.75,87835.2421875,86947.3828125,86947.3828125,60424192
2025-03-07 05:00:00+00:00,88194.0390625,88351.9765625,87623.625,87623.625,124510208
2025-03-07 06:00:00+00:00,88185.34375,88304.59375,87881.6015625,88225.03125,0
2025-03-07 07:00:00+00:00,88309.765625,88569.796875,88131.7734375,88197.390625,476745728
2025-03-07 08:00:00+00:00,88398.953125,88419.109375,88034.25,88362.4765625,0
2025-03-07 09:00:00+00:00,88965.375,89554.8828125,88410.765625,88411.8515625,1606164480
2025-03-07 10:00:00+00:00,89211.1875,89281.3828125,88852.65625,88916.09375,0
2025-03-07 11:00:00+00:00,88943.453125,89414.7890625,88881.3125,89217.8125,0
2025-03-07 12:00:00+00:00,89111.40625,89235.6328125,88375.078125,89023.0546875,0
2025-03-07 13:00:00+00:00,89316.9609375,90157.0390625,89047.3359375,89047.3359375,1119588352
2025-03-07 14:00:00+00:00,90461.6328125,91070.7421875,88941.8359375,89195.1484375,0
2025-03-07 15:00:00+00:00,88445.3125,90683.9296875,88088.3828125,90396.03125,6803640320
2025-03-07 16:00:00+00:00,87027.671875,88709.609375,86656.8515625,88482.7578125,2668081152
2025-03-07 17:00:00+00:00,87475.8359375,88508.1328125,86751.8046875,87192.9296875,0
2025-03-07 18:00:00+00:00,88522.3203125,88942.0546875,87655.828125,87655.828125,4094480384
2025-03-07 19:00:00+00:00,87831.1328125,88808.9296875,87470.9921875,88788.828125,249978880
2025-03-07 20:00:00+00:00,87073.0859375,88194.9296875,86739.0625,87772.1328125,560779264
2025-03-07 21:00:00+00:00,86367.4453125,87171.7890625,85881.21875,87073.4609375,1958899712
2025-03-07 22:00:00+00:00,86755.3359375,86803.734375,85688.6796875,86304.8671875,0
2025-03-07 23:00:00+00:00,86745.3359375,86767.5703125,85995.9296875,86564.03125,0
2025-03-08 00:00:00+00:00,86751.8203125,86835.4765625,86542.90625,86713.375,0
2025-03-08 01:00:00+00:00,86018.5859375,86693.28125,85270.2265625,86693.28125,0
2025-03-08 02:00:00+00:00,86179.609375,86273.421875,85946.4453125,86046.6328125,0
2025-03-08 03:00:00+00:00,85973.9140625,86145.0,85463.78125,86145.0,0
2025-03-08 04:00:00+00:00,86432.28125,86449.71875,85683.9296875,85889.4375,0
2025-03-08 05:00:00+00:00,86260.0859375,86426.25,86004.3515625,86426.25,0
2025-03-08 06:00:00+00:00,86439.421875,86599.8203125,86261.6484375,86261.6484375,251752448
2025-03-08 07:00:00+00:00,86158.4375,86508.7734375,86158.4375,86445.4921875,0
2025-03-08 08:00:00+00:00,86055.0703125,86281.5859375,86033.0078125,86180.0390625,0
2025-03-08 09:00:00+00:00,85883.7734375,86414.34375,85859.4375,86055.1953125,0
2025-03-08 10:00:00+00:00,86113.2734375,86209.6484375,85925.34375,85925.34375,118697984
2025-03-08 11:00:00+00:00,85908.1796875,86104.2578125,85780.2265625,86104.2578125,0
2025-03-08 12:00:00+00:00,86201.09375,86329.671875,85794.1796875,85926.3671875,0
2025-03-08 13:00:00+00:00,86302.4296875,86469.2421875,86121.875,86180.40625,0
2025-03-08 14:00:00+00:00,86320.015625,86556.625,86221.4375,86298.328125,0
2025-03-08 15:00:00+00:00,86357.7734375,86572.1484375,86224.375,86278.6640625,0
2025-03-08 16:00:00+00:00,86081.6171875,86412.6328125,85859.53125,86369.515625,0
2025-03-08 17:00:00+00:00,85918.03125,86111.4765625,85781.1015625,86111.4765625,0
2025-03-08 18:00:00+00:00,86011.6328125,86055.9921875,85843.640625,85892.4140625,0
2025-03-08 19:00:00+00:00,86203.9453125,86410.5859375,85807.0,86027.0234375,0
2025-03-08 20:00:00+00:00,86266.25,86345.4296875,86191.3828125,86199.9296875,0
2025-03-08 21:00:00+00:00,86204.2109375,86475.3828125,86198.6328125,86270.6171875,0
2025-03-08 22:00:00+00:00,86190.875,86211.75,85879.4921875,86201.9453125,0
2025-03-08 23:00:00+00:00,86141.828125,86342.15625,86051.6015625,86315.1328125,0
2025-03-09 00:00:00+00:00,86417.125,86417.125,86118.5703125,86186.640625,0
2025-03-09 01:00:00+00:00,86154.484375,86462.125,86099.09375,86393.515625,0
2025-03-09 02:00:00+00:00,85995.40625,86239.59375,85995.40625,86170.1171875,0
2025-03-09 03:00:00+00:00,86132.6953125,86180.75,85967.9140625,85993.0390625,0
2025-03-09 04:00:00+00:00,86056.6953125,86104.3828125,85937.28125,86104.3828125,0
2025-03-09 05:00:00+00:00,86008.6328125,86109.9375,85960.8984375,86027.265625,0
2025-03-09 06:00:00+00:00,85871.8671875,86006.015625,85794.7890625,86006.015625,0
2025-03-09 07:00:00+00:00,85966.078125,86099.5390625,85863.1015625,85863.1015625,0
2025-03-09 08:00:00+00:00,85802.2734375,86028.65625,85802.2734375,85973.40625,0
2025-03-09 09:00:00+00:00,85505.1640625,85830.234375,85419.265625,85773.2109375,0
2025-03-09 10:00:00+00:00,84854.5859375,85568.2265625,84759.4296875,85501.7265625,921392128
2025-03-09 11:00:00+00:00,85021.28125,85021.28125,84647.6640625,84894.6328125,466832384
2025-03-09 12:00:00+00:00,84537.2109375,85004.2421875,84275.2109375,85004.2421875,532456448
2025-03-09 13:00:00+00:00,83788.1953125,84660.7578125,83788.1953125,84575.5078125,375040000
2025-03-09 14:00:00+00:00,83594.875,83736.078125,83139.9921875,83587.734375,1619479552
