Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-04-05 16:00:00+00:00,82714.9609375,82779.3125,82588.0703125,82588.0703125,0
2025-04-05 17:00:00+00:00,82846.6796875,82910.8125,82660.6875,82714.453125,0
2025-04-05 18:00:00+00:00,83046.5390625,83063.0078125,82840.328125,82840.328125,0
2025-04-05 19:00:00+00:00,82776.65625,83073.0234375,82751.9140625,83022.7265625,0
2025-04-05 20:00:00+00:00,83039.4453125,83051.8046875,82852.5859375,82852.5859375,0
2025-04-05 21:00:00+00:00,82919.4921875,83179.40625,82919.4921875,83040.984375,0
2025-04-05 22:00:00+00:00,83135.6953125,83135.6953125,82914.1328125,82914.1328125,79563776
2025-04-05 23:00:00+00:00,83463.734375,83538.65625,83134.15625,83150.2890625,34075648
2025-04-06 00:00:00+00:00,83479.3125,83521.5,83418.15625,83501.859375,47315968
2025-04-06 01:00:00+00:00,83415.25,83704.71875,83401.921875,83486.2109375,0
2025-04-06 02:00:00+00:00,83268.7734375,83438.0,83257.0390625,83406.0859375,0
2025-04-06 03:00:00+00:00,83312.640625,83362.34375,83177.546875,83272.5390625,0
2025-04-06 04:00:00+00:00,83453.1015625,83453.1015625,83248.6640625,83311.1015625,0
2025-04-06 05:00:00+00:00,83413.171875,83491.4453125,83319.0,83462.1015625,0
2025-04-06 06:00:00+00:00,83155.4453125,83420.5703125,83144.46875,83420.5703125,0
2025-04-06 07:00:00+00:00,83011.203125,83143.4453125,83011.203125,83098.5,35419136
2025-04-06 08:00:00+00:00,82990.6640625,82990.6640625,82722.390625,82976.3359375,0
2025-04-06 09:00:00+00:00,83011.796875,83094.96875,82899.5234375,82991.875,0
2025-04-06 10:00:00+00:00,82803.71875,83012.984375,82718.21875,83012.984375,55005184
2025-04-06 11:00:00+00:00,82799.0546875,82859.828125,82633.71875,82820.4375,0
2025-04-06 12:00:00+00:00,82651.03125,82913.71875,82627.3203125,82802.96875,0
2025-04-06 13:00:00+00:00,82264.3671875,82763.5234375,82252.421875,82652.2421875,0
2025-04-06 14:00:00+00:00,82512.7890625,82692.8046875,82262.3203125,82262.3203125,398101504
2025-04-06 15:00:00+00:00,82554.34375,82689.0625,82396.890625,82609.1953125,0
2025-04-06 16:00:00+00:00,81963.0234375,82522.015625,81963.0234375,82522.015625,473309184
2025-04-06 17:00:00+00:00,80709.6640625,81948.46875,80675.3046875,81948.46875,2693504000
