Price,Close,High,Low,Open,Volume,short_ma,long_ma,signal,position,returns,strategy_returns,buy_hold_return,strategy_return
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,
Datetime,,,,,,,,,,,,,
2025-04-05 16:00:00+00:00,82714.9609375,82779.3125,82588.0703125,82588.0703125,0,,,0.0,,,,,
2025-04-05 17:00:00+00:00,82846.6796875,82910.8125,82660.6875,82714.453125,0,,,0.0,0.0,0.001592441663600841,0.0,1.0015924416636008,1.0
2025-04-05 18:00:00+00:00,83046.5390625,83063.0078125,82840.328125,82840.328125,0,,,0.0,0.0,0.0024124005422290207,0.0,1.0040086838129627,1.0
2025-04-05 19:00:00+00:00,82776.65625,83073.0234375,82751.9140625,83022.7265625,0,,,0.0,0.0,-0.003249777962413214,-0.0,1.000745878518236,1.0
2025-04-05 20:00:00+00:00,83039.4453125,83051.8046875,82852.5859375,82852.5859375,0,,,0.0,0.0,0.0031746759823969573,0.0,1.0039229224232504,1.0
2025-04-05 21:00:00+00:00,82919.4921875,83179.40625,82919.4921875,83040.984375,0,,,0.0,0.0,-0.0014445318673382834,-0.0,1.0024727237694586,1.0
2025-04-05 22:00:00+00:00,83135.6953125,83135.6953125,82914.1328125,82914.1328125,79563776,,,0.0,0.0,0.002607386023434799,0.0,1.0050865571382896,1.0
2025-04-05 23:00:00+00:00,83463.734375,83538.65625,83134.15625,83150.2890625,34075648,,,0.0,0.0,0.003945826895016991,0.0,1.009052454707266,1.0
2025-04-06 00:00:00+00:00,83479.3125,83521.5,83418.15625,83501.859375,47315968,83046.94618055556,,0.0,0.0,0.00018664543489044227,0.0,1.009240789741502,1.0
2025-04-06 01:00:00+00:00,83415.25,83704.71875,83401.921875,83486.2109375,0,83124.75607638889,,0.0,0.0,-0.0007674056970701226,-0.0,1.008466292609739,1.0
2025-04-06 02:00:00+00:00,83268.7734375,83438.0,83257.0390625,83406.0859375,0,83171.65538194444,,0.0,0.0,-0.0017559926092650668,-0.0,1.0066954332532234,1.0
2025-04-06 03:00:00+00:00,83312.640625,83362.34375,83177.546875,83272.5390625,0,83201.22222222222,,0.0,0.0,0.0005268143829801897,0.0,1.0072257748867417,1.0
2025-04-06 04:00:00+00:00,83453.1015625,83453.1015625,83248.6640625,83311.1015625,0,83276.3828125,,0.0,0.0,0.0016859498924326477,0.0,1.0089239070735674,1.0
2025-04-06 05:00:00+00:00,83413.171875,83491.4453125,83319.0,83462.1015625,0,83317.90798611111,,0.0,0.0,-0.0004784685859769988,-0.0,1.0084411686783914,1.0
